,iter,norm
74,75,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
75,76,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
76,77,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 4, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
77,78,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 4, 'number_adjacent_block_facts': 2}"
78,79,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
79,80,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 3, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 3, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
80,81,"{'number_adjacent_facts_other_value': 6, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 3, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 6, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
81,82,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 2}"
82,83,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
83,84,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 4, 'number_adjacent_col_facts': 5, 'number_adjacent_block_facts': 2}"
84,85,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 7, 'number_adjacent_block_facts': 3}"
85,86,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 6}"
86,87,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 2}"
87,88,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 2}"
88,89,"{'number_adjacent_facts_other_value': 6, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 6, 'number_adjacent_block_facts': 1}"
89,90,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
90,91,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 4}"
91,92,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
92,93,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
93,94,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 4, 'number_adjacent_block_facts': 2}"
94,95,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 5, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
95,96,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 5, 'number_adjacent_block_facts': 2}"
96,97,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 3, 'number_adjacent_col_facts': 6, 'number_adjacent_block_facts': 2}"
97,98,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 5, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
98,99,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 8, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
99,100,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 8, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
