,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
60,61,0,"[4, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 1]",,"[5, 2, 1, 1, 1, 0, 1, 0, 1, 3, 1, 2]",,5,0
61,62,0,"[0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0]",,"[0, 4, 0, 1, 1, 1, 0, 0, 4, 0, 0, 0]",,5,0
62,63,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,"[1, 3, 0, 1, 0, 0, 1, 2, 2, 1, 0, 1]",,5,0
63,64,0,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 1]",,"[4, 2, 0, 0, 1, 0, 2, 1, 3, 0, 4, 1]",,5,0
64,65,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,"[2, 4, 0, 0, 1, 0, 3, 0, 1, 2, 0, 1]",,5,0
65,66,0,"[5, 1, 0, 1, 0, 0, 0, 0, 1, 0, 5, 2]",,"[5, 1, 0, 0, 0, 1, 2, 0, 1, 0, 5, 2]",,5,0
66,67,0,"[7, 1, 0, 1, 0, 0, 0, 1, 0, 0, 7, 1]",,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 1]",,5,0
67,68,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",,5,0
68,69,0,"[8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 2]",,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 1, 7, 1]",,5,0
69,70,0,"[3, 5, 0, 0, 1, 0, 5, 0, 0, 3, 0, 0]",,"[3, 5, 0, 0, 1, 0, 4, 0, 3, 3, 0, 0]",,5,0
70,71,0,"[3, 2, 0, 0, 1, 0, 1, 1, 2, 1, 1, 3]",,"[3, 2, 0, 1, 0, 0, 1, 1, 2, 1, 1, 3]",,5,0
71,72,0,"[3, 4, 2, 0, 1, 0, 3, 2, 8, 3, 0, 1]",,"[4, 3, 3, 0, 1, 0, 3, 2, 4, 4, 0, 1]",,5,Draw
72,73,0,"[3, 2, 0, 0, 1, 0, 1, 1, 2, 1, 1, 3]",,"[3, 2, 0, 1, 0, 0, 1, 1, 2, 1, 1, 3]",,5,0
73,74,0,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,5,0
74,75,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",,"[5, 1, 0, 0, 1, 0, 0, 1, 2, 2, 1, 5]",,5,0
75,76,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,"[4, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 1]",,5,1
76,77,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 2]",,5,0
77,78,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",,5,0
78,79,0,"[3, 3, 0, 0, 1, 0, 2, 0, 1, 3, 0, 0]",,"[2, 4, 0, 0, 1, 0, 3, 0, 1, 2, 0, 0]",,5,0
79,80,0,"[6, 2, 0, 0, 1, 0, 2, 0, 0, 6, 0, 1]",,"[5, 3, 0, 0, 1, 0, 3, 0, 0, 5, 0, 1]",,5,0
80,81,0,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",,5,1
