,iter,weights
14,15,"{'number_adjacent_facts_other_value': 0.25100000000000033, 'number_other_facts_same_value': 8.751, 'number_other_facts_other_value': 16.0, 'adjacent_col_used': 5.001000000000001, 'adjacent_row_used': 5.001, 'adjacent_block_used': 21.0, 'other_col_cons': 27.25, 'other_row_cons': 23.5, 'other_block_cons': 3.7509999999999994, 'number_adjacent_row_facts': 5.001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 3.001}"
15,16,"{'number_adjacent_facts_other_value': 1.2510000000000003, 'number_other_facts_same_value': 8.751, 'number_other_facts_other_value': 21.0, 'adjacent_col_used': 5.001000000000001, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 21.0, 'other_col_cons': 27.25, 'other_row_cons': 23.5, 'other_block_cons': 3.7509999999999994, 'number_adjacent_row_facts': 10.001000000000001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 5.5009999999999994}"
16,17,"{'number_adjacent_facts_other_value': 1.2510000000000003, 'number_other_facts_same_value': 8.751, 'number_other_facts_other_value': 21.0, 'adjacent_col_used': 5.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 26.0, 'other_col_cons': 27.25, 'other_row_cons': 18.5, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 10.001000000000001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 5.5009999999999994}"
17,18,"{'number_adjacent_facts_other_value': 0.001000000000000334, 'number_other_facts_same_value': 10.417666666666666, 'number_other_facts_other_value': 21.0, 'adjacent_col_used': 5.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 26.0, 'other_col_cons': 27.25, 'other_row_cons': 21.0, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 10.001000000000001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 3.0009999999999994}"
18,19,"{'number_adjacent_facts_other_value': 2.5010000000000003, 'number_other_facts_same_value': 10.417666666666666, 'number_other_facts_other_value': 21.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 26.0, 'other_col_cons': 27.25, 'other_row_cons': 26.0, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 10.001000000000001, 'number_adjacent_col_facts': 5.001, 'number_adjacent_block_facts': 3.0009999999999994}"
19,20,"{'number_adjacent_facts_other_value': 2.5010000000000003, 'number_other_facts_same_value': 10.417666666666666, 'number_other_facts_other_value': 26.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 26.0, 'other_col_cons': 27.25, 'other_row_cons': 26.0, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 15.001000000000001, 'number_adjacent_col_facts': 4.001, 'number_adjacent_block_facts': 3.0009999999999994}"
20,21,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 12.917666666666666, 'number_other_facts_other_value': 26.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 26.0, 'other_col_cons': 27.25, 'other_row_cons': 26.0, 'other_block_cons': 8.751, 'number_adjacent_row_facts': 15.001000000000001, 'number_adjacent_col_facts': 1.0010000000000003, 'number_adjacent_block_facts': 3.0009999999999994}"
21,22,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 12.917666666666666, 'number_other_facts_other_value': 26.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 27.25, 'other_row_cons': 26.0, 'other_block_cons': 8.751, 'number_adjacent_row_facts': 15.001000000000001, 'number_adjacent_col_facts': 0.37600000000000033, 'number_adjacent_block_facts': 4.6676666666666655}"
22,23,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 12.917666666666666, 'number_other_facts_other_value': 26.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 27.25, 'other_row_cons': 26.0, 'other_block_cons': 8.751, 'number_adjacent_row_facts': 15.001000000000001, 'number_adjacent_col_facts': 0.37600000000000033, 'number_adjacent_block_facts': 4.6676666666666655}"
23,24,"{'number_adjacent_facts_other_value': 5.001, 'number_other_facts_same_value': 12.917666666666666, 'number_other_facts_other_value': 26.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 27.25, 'other_row_cons': 27.666666666666668, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 15.001000000000001, 'number_adjacent_col_facts': 5.376, 'number_adjacent_block_facts': 4.6676666666666655}"
24,25,"{'number_adjacent_facts_other_value': 5.001, 'number_other_facts_same_value': 12.917666666666666, 'number_other_facts_other_value': 26.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 27.25, 'other_row_cons': 27.666666666666668, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 15.001000000000001, 'number_adjacent_col_facts': 5.376, 'number_adjacent_block_facts': 4.6676666666666655}"
25,26,"{'number_adjacent_facts_other_value': 5.001, 'number_other_facts_same_value': 12.917666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 15.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 27.25, 'other_row_cons': 27.666666666666668, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 13.001000000000001, 'number_adjacent_col_facts': 10.376000000000001, 'number_adjacent_block_facts': 0.001}"
26,27,"{'number_adjacent_facts_other_value': 8.001000000000001, 'number_other_facts_same_value': 10.417666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 15.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 27.25, 'other_row_cons': 32.66666666666667, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 13.001000000000001, 'number_adjacent_col_facts': 15.376000000000001, 'number_adjacent_block_facts': 3.001}"
27,28,"{'number_adjacent_facts_other_value': 7.001000000000001, 'number_other_facts_same_value': 12.917666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 15.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 32.25, 'other_row_cons': 32.66666666666667, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 12.001000000000001, 'number_adjacent_col_facts': 15.376000000000001, 'number_adjacent_block_facts': 0.5009999999999999}"
28,29,"{'number_adjacent_facts_other_value': 4.001000000000001, 'number_other_facts_same_value': 15.417666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 15.001000000000001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 31.0, 'other_col_cons': 32.25, 'other_row_cons': 32.66666666666667, 'other_block_cons': 8.751, 'number_adjacent_row_facts': 9.001000000000001, 'number_adjacent_col_facts': 15.376000000000001, 'number_adjacent_block_facts': 0.5009999999999999}"
29,30,"{'number_adjacent_facts_other_value': 4.001000000000001, 'number_other_facts_same_value': 15.417666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 20.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 26.0, 'other_col_cons': 32.25, 'other_row_cons': 32.66666666666667, 'other_block_cons': 13.751, 'number_adjacent_row_facts': 9.001000000000001, 'number_adjacent_col_facts': 15.376000000000001, 'number_adjacent_block_facts': 0.5009999999999999}"
30,31,"{'number_adjacent_facts_other_value': 4.001000000000001, 'number_other_facts_same_value': 15.417666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 20.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 26.0, 'other_col_cons': 32.25, 'other_row_cons': 32.66666666666667, 'other_block_cons': 13.751, 'number_adjacent_row_facts': 10.667666666666667, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 0.001}"
31,32,"{'number_adjacent_facts_other_value': 7.334333333333334, 'number_other_facts_same_value': 15.417666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 20.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 26.0, 'other_col_cons': 34.75, 'other_row_cons': 32.66666666666667, 'other_block_cons': 11.251, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 0.001}"
32,33,"{'number_adjacent_facts_other_value': 7.334333333333334, 'number_other_facts_same_value': 15.417666666666666, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 34.75, 'other_row_cons': 32.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 0.001}"
33,34,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 39.75, 'other_row_cons': 32.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 11.501000000000001, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 0.001}"
34,35,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 10.376000000000001, 'number_adjacent_block_facts': 0.001}"
35,36,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 10.376000000000001, 'number_adjacent_block_facts': 0.001}"
36,37,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 10.376000000000001, 'number_adjacent_block_facts': 0.001}"
37,38,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 10.376000000000001, 'number_adjacent_block_facts': 0.001}"
38,39,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 10.376000000000001, 'number_adjacent_block_facts': 0.001}"
39,40,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 21.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 14.001000000000001, 'number_adjacent_col_facts': 10.376000000000001, 'number_adjacent_block_facts': 0.001}"
40,41,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 26.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 19.001, 'number_adjacent_col_facts': 8.233142857142859, 'number_adjacent_block_facts': 3.751}"
41,42,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 31.0, 'other_col_cons': 34.75, 'other_row_cons': 37.66666666666667, 'other_block_cons': 16.250999999999998, 'number_adjacent_row_facts': 19.001, 'number_adjacent_col_facts': 6.983142857142859, 'number_adjacent_block_facts': 6.2509999999999994}"
42,43,"{'number_adjacent_facts_other_value': 4.834333333333334, 'number_other_facts_same_value': 17.084333333333333, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 36.0, 'other_col_cons': 34.75, 'other_row_cons': 42.66666666666667, 'other_block_cons': 11.250999999999998, 'number_adjacent_row_facts': 19.001, 'number_adjacent_col_facts': 6.983142857142859, 'number_adjacent_block_facts': 6.2509999999999994}"
43,44,"{'number_adjacent_facts_other_value': 2.3343333333333343, 'number_other_facts_same_value': 18.751, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 36.0, 'other_col_cons': 34.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 11.250999999999998, 'number_adjacent_row_facts': 19.001, 'number_adjacent_col_facts': 4.483142857142859, 'number_adjacent_block_facts': 3.7509999999999994}"
44,45,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 20.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 11.250999999999998, 'number_adjacent_row_facts': 16.501, 'number_adjacent_col_facts': 4.483142857142859, 'number_adjacent_block_facts': 1.2509999999999994}"
45,46,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 22.91766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 13.750999999999998, 'number_adjacent_row_facts': 16.501, 'number_adjacent_col_facts': 1.4831428571428589, 'number_adjacent_block_facts': 1.2509999999999994}"
46,47,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 27.91766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 16.501, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 1.2509999999999994}"
47,48,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 27.91766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 16.501, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 6.2509999999999994}"
48,49,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 30.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 16.501, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 6.2509999999999994}"
49,50,"{'number_adjacent_facts_other_value': 0.626, 'number_other_facts_same_value': 30.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 21.501, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 8.751}"
50,51,"{'number_adjacent_facts_other_value': 0.626, 'number_other_facts_same_value': 30.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 25.001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 47.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 26.501, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 6.2509999999999994}"
51,52,"{'number_adjacent_facts_other_value': 3.959333333333333, 'number_other_facts_same_value': 30.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 30.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 21.501, 'number_adjacent_col_facts': 5.001, 'number_adjacent_block_facts': 1.2509999999999994}"
52,53,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 30.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 36.0, 'other_col_cons': 39.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 21.501, 'number_adjacent_col_facts': 3.1260000000000003, 'number_adjacent_block_facts': 1.2509999999999994}"
53,54,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 30.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 41.0, 'other_col_cons': 39.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 21.501, 'number_adjacent_col_facts': 2.411714285714286, 'number_adjacent_block_facts': 3.7509999999999994}"
54,55,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 30.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 41.0, 'other_col_cons': 39.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 24.001, 'number_adjacent_col_facts': 1.6974285714285717, 'number_adjacent_block_facts': 0.001}"
55,56,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 30.001, 'adjacent_row_used': 25.001, 'adjacent_block_used': 41.0, 'other_col_cons': 39.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 29.001, 'number_adjacent_col_facts': 1.0724285714285717, 'number_adjacent_block_facts': 0.001}"
