,iter,weights
56,57,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 30.001, 'adjacent_row_used': 25.001, 'adjacent_block_used': 46.0, 'other_col_cons': 39.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 23.750999999999998, 'number_adjacent_row_facts': 29.001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 3.334333333333333}"
57,58,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 25.001, 'adjacent_block_used': 51.0, 'other_col_cons': 44.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 29.001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 3.334333333333333}"
58,59,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 25.001, 'adjacent_row_used': 25.001, 'adjacent_block_used': 51.0, 'other_col_cons': 44.75, 'other_row_cons': 52.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 29.001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 3.334333333333333}"
59,60,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 30.001, 'adjacent_row_used': 20.001, 'adjacent_block_used': 51.0, 'other_col_cons': 44.75, 'other_row_cons': 57.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 29.001, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 3.334333333333333}"
60,61,"{'number_adjacent_facts_other_value': 2.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 35.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 51.0, 'other_col_cons': 44.75, 'other_row_cons': 57.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 26.501, 'number_adjacent_col_facts': 5.001, 'number_adjacent_block_facts': 0.8343333333333329}"
61,62,"{'number_adjacent_facts_other_value': 3.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 40.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 51.0, 'other_col_cons': 44.75, 'other_row_cons': 57.66666666666667, 'other_block_cons': 18.750999999999998, 'number_adjacent_row_facts': 25.251, 'number_adjacent_col_facts': 10.001000000000001, 'number_adjacent_block_facts': 3.334333333333333}"
62,63,"{'number_adjacent_facts_other_value': 3.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 56.0, 'other_col_cons': 39.75, 'other_row_cons': 57.66666666666667, 'other_block_cons': 21.250999999999998, 'number_adjacent_row_facts': 25.251, 'number_adjacent_col_facts': 10.001000000000001, 'number_adjacent_block_facts': 3.334333333333333}"
63,64,"{'number_adjacent_facts_other_value': 3.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 56.0, 'other_col_cons': 39.75, 'other_row_cons': 62.66666666666667, 'other_block_cons': 21.250999999999998, 'number_adjacent_row_facts': 25.251, 'number_adjacent_col_facts': 10.001000000000001, 'number_adjacent_block_facts': 3.334333333333333}"
64,65,"{'number_adjacent_facts_other_value': 3.084333333333333, 'number_other_facts_same_value': 35.41766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 56.0, 'other_col_cons': 44.75, 'other_row_cons': 62.66666666666667, 'other_block_cons': 24.58433333333333, 'number_adjacent_row_facts': 25.251, 'number_adjacent_col_facts': 10.001000000000001, 'number_adjacent_block_facts': 3.334333333333333}"
65,66,"{'number_adjacent_facts_other_value': 5.584333333333333, 'number_other_facts_same_value': 36.66766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 56.0, 'other_col_cons': 48.083333333333336, 'other_row_cons': 62.66666666666667, 'other_block_cons': 22.08433333333333, 'number_adjacent_row_facts': 27.751, 'number_adjacent_col_facts': 10.001000000000001, 'number_adjacent_block_facts': 3.334333333333333}"
66,67,"{'number_adjacent_facts_other_value': 5.584333333333333, 'number_other_facts_same_value': 36.66766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 40.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 61.0, 'other_col_cons': 53.083333333333336, 'other_row_cons': 62.66666666666667, 'other_block_cons': 22.08433333333333, 'number_adjacent_row_facts': 27.751, 'number_adjacent_col_facts': 10.001000000000001, 'number_adjacent_block_facts': 3.334333333333333}"
67,68,"{'number_adjacent_facts_other_value': 3.4414761904761906, 'number_other_facts_same_value': 39.16766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 40.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 61.0, 'other_col_cons': 53.083333333333336, 'other_row_cons': 62.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 27.751, 'number_adjacent_col_facts': 7.858142857142859, 'number_adjacent_block_facts': 3.334333333333333}"
68,69,"{'number_adjacent_facts_other_value': 3.4414761904761906, 'number_other_facts_same_value': 39.16766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 40.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 53.083333333333336, 'other_row_cons': 67.66666666666667, 'other_block_cons': 22.08433333333333, 'number_adjacent_row_facts': 27.751, 'number_adjacent_col_facts': 7.858142857142859, 'number_adjacent_block_facts': 3.334333333333333}"
69,70,"{'number_adjacent_facts_other_value': 3.4414761904761906, 'number_other_facts_same_value': 39.16766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 40.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 66.0, 'other_col_cons': 53.083333333333336, 'other_row_cons': 67.66666666666667, 'other_block_cons': 22.08433333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 7.233142857142859, 'number_adjacent_block_facts': 0.8343333333333329}"
70,71,"{'number_adjacent_facts_other_value': 3.4414761904761906, 'number_other_facts_same_value': 39.16766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 40.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 66.0, 'other_col_cons': 52.083333333333336, 'other_row_cons': 67.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 7.233142857142859, 'number_adjacent_block_facts': 0.8343333333333329}"
71,72,"{'number_adjacent_facts_other_value': 3.4414761904761906, 'number_other_facts_same_value': 39.16766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 52.083333333333336, 'other_row_cons': 67.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 7.233142857142859, 'number_adjacent_block_facts': 0.8343333333333329}"
72,73,"{'number_adjacent_facts_other_value': 3.4414761904761906, 'number_other_facts_same_value': 39.16766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 52.083333333333336, 'other_row_cons': 67.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 7.233142857142859, 'number_adjacent_block_facts': 0.8343333333333329}"
73,74,"{'number_adjacent_facts_other_value': 3.4414761904761906, 'number_other_facts_same_value': 39.16766666666667, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 52.083333333333336, 'other_row_cons': 67.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 7.233142857142859, 'number_adjacent_block_facts': 0.8343333333333329}"
74,75,"{'number_adjacent_facts_other_value': 0.9414761904761906, 'number_other_facts_same_value': 40.83433333333333, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 57.083333333333336, 'other_row_cons': 67.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 30.251000000000005, 'number_adjacent_col_facts': 7.233142857142859, 'number_adjacent_block_facts': 0.001}"
75,76,"{'number_adjacent_facts_other_value': 3.9414761904761906, 'number_other_facts_same_value': 38.33433333333333, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 57.083333333333336, 'other_row_cons': 72.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 35.251000000000005, 'number_adjacent_col_facts': 4.733142857142859, 'number_adjacent_block_facts': 3.001}"
76,77,"{'number_adjacent_facts_other_value': 0.19147619047619058, 'number_other_facts_same_value': 40.001, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 57.083333333333336, 'other_row_cons': 72.66666666666667, 'other_block_cons': 29.58433333333333, 'number_adjacent_row_facts': 31.501000000000005, 'number_adjacent_col_facts': 4.733142857142859, 'number_adjacent_block_facts': 3.001}"
77,78,"{'number_adjacent_facts_other_value': 2.6914761904761906, 'number_other_facts_same_value': 40.001, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 57.083333333333336, 'other_row_cons': 77.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 31.501000000000005, 'number_adjacent_col_facts': 7.233142857142859, 'number_adjacent_block_facts': 3.001}"
78,79,"{'number_adjacent_facts_other_value': 2.6914761904761906, 'number_other_facts_same_value': 40.001, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 52.083333333333336, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 26.501000000000005, 'number_adjacent_col_facts': 12.233142857142859, 'number_adjacent_block_facts': 3.001}"
79,80,"{'number_adjacent_facts_other_value': 1.024809523809524, 'number_other_facts_same_value': 41.251, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 53.75, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 24.834333333333337, 'number_adjacent_col_facts': 12.233142857142859, 'number_adjacent_block_facts': 3.001}"
80,81,"{'number_adjacent_facts_other_value': 0.1914761904761908, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 55.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 24.001000000000005, 'number_adjacent_col_facts': 12.233142857142859, 'number_adjacent_block_facts': 3.001}"
81,82,"{'number_adjacent_facts_other_value': 0.1914761904761908, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 71.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 22.08433333333333, 'number_adjacent_row_facts': 24.001000000000005, 'number_adjacent_col_facts': 12.233142857142859, 'number_adjacent_block_facts': 3.001}"
82,83,"{'number_adjacent_facts_other_value': 0.1914761904761908, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 24.001000000000005, 'number_adjacent_col_facts': 12.233142857142859, 'number_adjacent_block_facts': 3.001}"
83,84,"{'number_adjacent_facts_other_value': 0.1914761904761908, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 22.751000000000005, 'number_adjacent_col_facts': 13.233142857142859, 'number_adjacent_block_facts': 5.5009999999999994}"
84,85,"{'number_adjacent_facts_other_value': 0.1914761904761908, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 10.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 25.251000000000005, 'number_adjacent_col_facts': 12.518857142857145, 'number_adjacent_block_facts': 3.834333333333333}"
85,86,"{'number_adjacent_facts_other_value': 1.6200476190476192, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 15.001000000000001, 'adjacent_block_used': 66.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 27.751000000000005, 'number_adjacent_col_facts': 10.018857142857145, 'number_adjacent_block_facts': 4.667666666666666}"
86,87,"{'number_adjacent_facts_other_value': 1.6200476190476192, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 20.001, 'adjacent_block_used': 66.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 9.393857142857145, 'number_adjacent_block_facts': 2.1676666666666664}"
87,88,"{'number_adjacent_facts_other_value': 1.6200476190476192, 'number_other_facts_same_value': 42.91766666666666, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 27.08433333333333, 'number_adjacent_row_facts': 37.751000000000005, 'number_adjacent_col_facts': 8.768857142857145, 'number_adjacent_block_facts': 0.001}"
88,89,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 44.584333333333326, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 60.416666666666664, 'other_row_cons': 82.66666666666667, 'other_block_cons': 32.08433333333333, 'number_adjacent_row_facts': 37.751000000000005, 'number_adjacent_col_facts': 6.268857142857145, 'number_adjacent_block_facts': 0.001}"
89,90,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 46.25099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 65.41666666666666, 'other_row_cons': 82.66666666666667, 'other_block_cons': 32.08433333333333, 'number_adjacent_row_facts': 35.251000000000005, 'number_adjacent_col_facts': 6.268857142857145, 'number_adjacent_block_facts': 0.001}"
90,91,"{'number_adjacent_facts_other_value': 3.751, 'number_other_facts_same_value': 44.584333333333326, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 30.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 82.66666666666667, 'other_block_cons': 32.08433333333333, 'number_adjacent_row_facts': 40.251000000000005, 'number_adjacent_col_facts': 6.268857142857145, 'number_adjacent_block_facts': 3.751}"
91,92,"{'number_adjacent_facts_other_value': 1.251, 'number_other_facts_same_value': 46.25099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 45.001000000000005, 'adjacent_row_used': 30.001, 'adjacent_block_used': 66.0, 'other_col_cons': 75.41666666666666, 'other_row_cons': 82.66666666666667, 'other_block_cons': 32.08433333333333, 'number_adjacent_row_facts': 37.751000000000005, 'number_adjacent_col_facts': 6.268857142857145, 'number_adjacent_block_facts': 1.251}"
92,93,"{'number_adjacent_facts_other_value': 1.251, 'number_other_facts_same_value': 46.25099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 87.66666666666667, 'other_block_cons': 32.08433333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 11.268857142857145, 'number_adjacent_block_facts': 1.251}"
93,94,"{'number_adjacent_facts_other_value': 3.751, 'number_other_facts_same_value': 46.25099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 92.66666666666667, 'other_block_cons': 29.584333333333333, 'number_adjacent_row_facts': 32.751000000000005, 'number_adjacent_col_facts': 13.768857142857145, 'number_adjacent_block_facts': 1.251}"
94,95,"{'number_adjacent_facts_other_value': 0.7509999999999999, 'number_other_facts_same_value': 48.75099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 92.66666666666667, 'other_block_cons': 32.08433333333333, 'number_adjacent_row_facts': 29.751000000000005, 'number_adjacent_col_facts': 13.768857142857145, 'number_adjacent_block_facts': 1.251}"
95,96,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 51.25099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 92.66666666666667, 'other_block_cons': 34.58433333333333, 'number_adjacent_row_facts': 29.751000000000005, 'number_adjacent_col_facts': 10.768857142857145, 'number_adjacent_block_facts': 1.251}"
96,97,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 51.25099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 92.66666666666667, 'other_block_cons': 34.58433333333333, 'number_adjacent_row_facts': 29.751000000000005, 'number_adjacent_col_facts': 10.768857142857145, 'number_adjacent_block_facts': 1.251}"
97,98,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 53.75099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 92.66666666666667, 'other_block_cons': 37.08433333333333, 'number_adjacent_row_facts': 26.751000000000005, 'number_adjacent_col_facts': 10.768857142857145, 'number_adjacent_block_facts': 1.251}"
98,99,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 58.75099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 92.66666666666667, 'other_block_cons': 42.08433333333333, 'number_adjacent_row_facts': 24.876000000000005, 'number_adjacent_col_facts': 10.768857142857145, 'number_adjacent_block_facts': 1.251}"
99,100,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 58.75099999999999, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 50.001000000000005, 'adjacent_row_used': 25.001, 'adjacent_block_used': 66.0, 'other_col_cons': 70.41666666666666, 'other_row_cons': 92.66666666666667, 'other_block_cons': 42.08433333333333, 'number_adjacent_row_facts': 24.876000000000005, 'number_adjacent_col_facts': 10.768857142857145, 'number_adjacent_block_facts': 1.251}"
