,iter,time exp 1,time exp 2
0,1,0.3709406852722168,0.11870932579040527
1,2,0.46440720558166504,0.15367388725280762
2,3,0.29770922660827637,1.1080689430236816
3,4,0.14849638938903809,0.6759884357452393
4,5,0.34145593643188477,0.2971024513244629
5,6,0.22387981414794922,0.3042795658111572
6,7,0.24954819679260254,0.4893214702606201
7,8,0.386688232421875,0.3773643970489502
8,9,0.29358339309692383,0.2608206272125244
9,10,0.28576207160949707,0.3839375972747803
10,11,0.2232983112335205,0.4781370162963867
11,12,0.2589995861053467,0.2835850715637207
12,13,0.20795464515686035,1.0960297584533691
13,14,0.2731344699859619,0.39054155349731445
14,15,0.3537783622741699,0.4346344470977783
15,16,0.18959736824035645,0.6767973899841309
16,17,0.43315720558166504,0.3773503303527832
17,18,0.46089696884155273,0.3952803611755371
18,19,0.42734289169311523,0.5238630771636963
19,20,0.2117295265197754,0.43648576736450195
20,21,0.3949134349822998,0.4236922264099121
21,22,0.5730991363525391,1.2003118991851807
22,23,0.2370595932006836,0.2881617546081543
23,24,0.8806936740875244,4.6375908851623535
24,25,0.5386219024658203,3.2565877437591553
25,26,0.2016768455505371,1.024911880493164
26,27,0.19724035263061523,0.4072866439819336
27,28,0.23798632621765137,0.6324172019958496
28,29,0.3668859004974365,0.6444242000579834
29,30,0.9190385341644287,4.863722801208496
30,31,0.20749521255493164,0.4844813346862793
31,32,0.4035637378692627,0.5032222270965576
32,33,0.26888561248779297,0.24044466018676758
33,34,0.5164494514465332,2.0307533740997314
34,35,0.23689627647399902,0.3635833263397217
35,36,0.29346585273742676,2.8435604572296143
36,37,0.6864275932312012,1.587653636932373
37,38,0.4048750400543213,1.0556206703186035
38,39,0.2812316417694092,1.585160255432129
39,40,0.2419114112854004,0.5495450496673584
40,41,0.3318600654602051,0.4724557399749756
41,42,0.16051578521728516,1.3958094120025635
42,43,0.3254873752593994,0.25771474838256836
43,44,0.21957755088806152,0.36071276664733887
44,45,0.30130577087402344,0.8092548847198486
45,46,0.2624382972717285,0.21801066398620605
46,47,0.1917891502380371,0.6715600490570068
47,48,0.29979729652404785,0.4318060874938965
48,49,0.25284886360168457,1.8942599296569824
49,50,0.33680248260498047,0.8996155261993408
