,iter,time exp 1,time exp 2
0,1,0.30280637741088867,0.22628402709960938
1,2,0.5243558883666992,0.7644717693328857
2,3,0.2867410182952881,0.2798335552215576
3,4,0.259244441986084,0.2163536548614502
4,5,0.20927739143371582,0.23504400253295898
5,6,0.18056392669677734,0.19326043128967285
6,7,0.21869325637817383,0.3217432498931885
7,8,0.33290958404541016,0.529029369354248
8,9,0.26657748222351074,0.26033473014831543
9,10,0.22864174842834473,0.3397712707519531
10,11,0.231917142868042,0.19583415985107422
11,12,0.33957552909851074,0.36891651153564453
12,13,0.1963949203491211,0.4383418560028076
13,14,0.19982242584228516,0.3218233585357666
14,15,0.24806928634643555,0.4613003730773926
15,16,0.2534146308898926,0.2078857421875
16,17,0.3054945468902588,0.27498960494995117
17,18,0.23814916610717773,0.25869154930114746
18,19,0.19216132164001465,0.2012181282043457
19,20,0.30775880813598633,0.4143033027648926
20,21,0.31992602348327637,0.5047171115875244
21,22,0.7454493045806885,0.814537763595581
22,23,0.24236512184143066,0.3320903778076172
23,24,0.3235781192779541,0.6006686687469482
24,25,0.3451671600341797,0.5551984310150146
25,26,0.25667619705200195,0.46144771575927734
26,27,0.2567133903503418,0.25542378425598145
27,28,0.28517627716064453,0.6178312301635742
28,29,0.34018731117248535,0.49710965156555176
29,30,2.7787210941314697,1.5210728645324707
30,31,0.2749166488647461,0.31447672843933105
31,32,0.34725451469421387,0.39882397651672363
32,33,0.20100760459899902,0.28943729400634766
33,34,0.4918701648712158,0.5374681949615479
34,35,0.2736060619354248,0.2908515930175781
35,36,0.27484941482543945,0.7640261650085449
36,37,0.16759252548217773,0.4110300540924072
37,38,0.46981358528137207,0.3172280788421631
38,39,0.33560967445373535,0.3647732734680176
39,40,0.6583480834960938,0.7587227821350098
40,41,0.5595955848693848,0.3408656120300293
41,42,0.22406697273254395,0.2784733772277832
42,43,0.21690154075622559,0.33209657669067383
43,44,0.33107686042785645,0.4078068733215332
44,45,0.6232578754425049,0.8048772811889648
45,46,0.2255101203918457,0.8283085823059082
46,47,0.5390145778656006,0.3199899196624756
47,48,0.20254731178283691,0.21388912200927734
48,49,0.36345553398132324,0.3181145191192627
49,50,0.38157033920288086,0.7940421104431152
