,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
52,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Difference
53,0.776,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.251,Final
54,0.776,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.251,Starting
55,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,Difference
56,0.6926666666666667,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.08433333333333334,Final
57,0.6926666666666667,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.08433333333333334,Starting
58,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,Difference
59,0.776,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.251,Final
60,0.776,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.251,Starting
61,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,Difference
62,0.8315555555555556,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.41766666666666663,Final
63,0.8315555555555556,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.41766666666666663,Starting
64,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,Difference
65,0.914888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.5426666666666666,Final
66,0.914888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,0.5426666666666666,Starting
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Difference
68,1.414888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,1.0426666666666666,Final
69,1.414888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.251,1.376,1.3166666666666669,1.0426666666666666,Starting
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Difference
71,1.414888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.376,1.3166666666666669,1.0426666666666666,Final
72,1.414888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.376,1.3166666666666669,1.0426666666666666,Starting
73,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,Difference
