grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_row_facts,number_other_constraints,number_other_facts,time,obj_value
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 7 4 3 8 1 0 0]
 [8 1 0 9 2 6 0 3 5]
 [3 0 0 0 5 1 0 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [3, 2, 7]], ['FACT', [4, 3, 9]], ['FACT', [4, 4, 2]], ['FACT', [4, 5, 6]], ['FACT', [4, 7, 3]], ['FACT', [4, 8, 5]]]","[['ROW', 4], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [4, 6, 7]]",2,6,1,0,1,1,0,0,0,0,1,5,1,0,2,0,1,5,1,1,1.8470680713653564,21.3
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 7 4 3 8 1 0 0]
 [8 1 0 9 2 6 7 3 5]
 [3 0 0 0 5 1 0 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [3, 0, 5]], ['FACT', [4, 0, 8]], ['FACT', [4, 1, 1]], ['FACT', [4, 3, 9]], ['FACT', [4, 4, 2]], ['FACT', [4, 5, 6]], ['FACT', [4, 6, 7]], ['FACT', [5, 0, 3]]]","[['ROW', 3], ['ROW', 5], ['ROW', 4], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [4, 2, 4]]",5,8,2,0,3,1,0,0,2,0,2,8,0,0,4,0,1,6,4,0,2.8053009510040283,15.62
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 7 4 3 8 1 0 0]
 [8 1 4 9 2 6 7 3 5]
 [3 0 0 0 5 1 0 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [3, 2, 7]], ['FACT', [4, 6, 7]], ['FACT', [5, 4, 5]], ['FACT', [5, 5, 1]]]","[['ROW', 5], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [5, 3, 7]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,1.8665180206298828,25.4
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 7 4 3 8 1 0 0]
 [8 1 4 9 2 6 7 3 5]
 [3 0 0 7 5 1 0 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [1, 7, 4]], ['FACT', [4, 2, 4]], ['FACT', [5, 3, 7]], ['FACT', [5, 4, 5]], ['FACT', [5, 5, 1]], ['FACT', [7, 8, 4]]]","[['ROW', 3], ['ROW', 4], ['COL', 6], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 6, 4]]",6,6,3,1,2,0,1,0,2,0,3,3,3,0,0,0,1,3,5,3,2.7972805500030518,37.32
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 7 4 3 8 1 0 0]
 [8 1 4 9 2 6 7 3 5]
 [3 0 0 7 5 1 4 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [3, 0, 5]], ['FACT', [3, 2, 7]], ['FACT', [3, 3, 4]], ['FACT', [3, 4, 3]], ['FACT', [3, 5, 8]], ['FACT', [7, 1, 6]], ['FACT', [8, 6, 6]]]","[['ROW', 5], ['ROW', 4], ['COL', 7], ['COL', 1], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 7, 6]]",8,8,4,2,2,0,1,0,2,1,4,5,3,0,0,0,1,5,7,3,5.560730695724487,51.42
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 7 4 3 8 1 6 0]
 [8 1 4 9 2 6 7 3 5]
 [3 0 0 7 5 1 4 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [3, 0, 5]], ['FACT', [3, 2, 7]], ['FACT', [3, 3, 4]], ['FACT', [3, 4, 3]], ['FACT', [3, 5, 8]], ['FACT', [3, 6, 1]], ['FACT', [3, 7, 6]], ['FACT', [8, 8, 2]]]","[['ROW', 3], ['COL', 8]]","['DERIVED', [3, 1, 2]]",2,8,0,1,1,1,0,0,0,1,0,7,1,0,2,0,1,7,1,1,2.2954928874969482,35.2
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 7 4 3 8 1 6 0]
 [8 1 4 9 2 6 7 3 5]
 [3 0 0 7 5 1 4 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [3, 0, 5]], ['FACT', [3, 1, 2]], ['FACT', [3, 5, 8]], ['FACT', [3, 6, 1]], ['FACT', [3, 7, 6]], ['FACT', [4, 6, 7]], ['FACT', [4, 7, 3]], ['FACT', [5, 6, 4]]]","[['ROW', 3], ['ROW', 5], ['ROW', 4], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 8, 9]]",5,8,2,0,3,1,0,0,2,0,2,8,0,0,5,0,1,5,4,0,1.6436431407928467,14.719999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 7 4 3 8 1 6 9]
 [8 1 4 9 2 6 7 3 5]
 [3 0 0 7 5 1 4 0 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [3, 1, 2]], ['FACT', [5, 3, 7]], ['FACT', [5, 4, 5]], ['FACT', [5, 5, 1]], ['FACT', [5, 6, 4]], ['FACT', [5, 8, 8]]]","[['ROW', 5], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 7, 2]]",2,6,1,0,1,1,0,0,0,0,1,5,1,0,2,0,1,5,1,1,0.9734749794006348,21.3
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 7 4 3 8 1 6 9]
 [8 1 4 9 2 6 7 3 5]
 [3 0 0 7 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [2, 2, 9]], ['FACT', [3, 0, 5]], ['FACT', [3, 2, 7]], ['FACT', [4, 0, 8]], ['FACT', [4, 2, 4]], ['FACT', [5, 5, 1]], ['FACT', [5, 7, 2]], ['FACT', [8, 0, 9]]]","[['ROW', 3], ['ROW', 4], ['COL', 1], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [5, 1, 9]]",7,8,4,1,2,0,1,0,2,0,4,6,2,0,4,0,1,2,6,2,2.5118744373321533,29.82
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 7 4 3 8 1 6 9]
 [8 1 4 9 2 6 7 3 5]
 [3 9 0 7 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [3, 0, 5]], ['FACT', [3, 1, 2]], ['FACT', [4, 0, 8]], ['FACT', [4, 1, 1]], ['FACT', [5, 0, 3]], ['FACT', [5, 1, 9]], ['FACT', [5, 3, 7]], ['FACT', [5, 6, 4]]]","[['ROW', 3], ['ROW', 5], ['ROW', 4], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [5, 2, 6]]",5,8,2,0,3,1,0,0,2,0,2,8,0,0,6,0,1,4,4,0,0.6655962467193604,13.82
